Accession;Organism_Name;SRA_Accession;Species;Genus;Family;Molecule_type;Length;Nuc_Completeness;Geo_Location;Host;Isolation_Source
NC_076389;Cladosporium cladosporioides ourmia-like virus 2;SRR8303985;Cladosporium magoulivirus 2;Magoulivirus;Botourmiaviridae;ssRNA(+);2276;complete;Italy;Cladosporium cladosporioides;
NC_076390;Phaeoacremonium minimum ourmia-like virus 3;SRR8303990;Betabotoulivirus phaeoacremonium;Betabotoulivirus;Botourmiaviridae;ssRNA(+);2876;complete;Italy;Phaeoacremonium minimum;
NC_076420;Narnavirus sp.;SRR5252354;Narnavirus sp.;Narnavirus;Narnaviridae;ssRNA(+);9843;complete;USA: Hopland, California;;
NC_076421;Narnavirus sp.;SRR5252571;Narnavirus sp.;Narnavirus;Narnaviridae;ssRNA(+);9885;complete;USA: Hopland, California;;
NC_076447;Phoma matteucciicola ourmia-like virus 1;;Phoma penoulivirus;Penoulivirus;Botourmiaviridae;ssRNA(+);2603;complete;China;Neoscirrhia matteucciicola;
NC_076471;Sclerotinia sclerotiorum ourmia-like virus 4;;Sclerotinia sclerotiorum ourmia-like virus 4;Penoulivirus;Botourmiaviridae;ssRNA(+);2892;complete;China;Sclerotinia sclerotiorum;
NC_076514;Helicobasidium mompa mitovirus 1-18;;Unuamitovirus hemo1;Unuamitovirus;Mitoviridae;ssRNA(+);2411;complete;;Helicobasidium mompa;
NC_076517;Gremmeniella mitovirus S1;;Unuamitovirus grab1;Unuamitovirus;Mitoviridae;ssRNA(+);2572;complete;;Gremmeniella abietina;
NC_076518;Ophiostoma mitovirus 1a;;Duamitovirus opno1a;Duamitovirus;Mitoviridae;ssRNA(+);3147;complete;United Kingdom;Ophiostoma novo-ulmi;
NC_076519;Ophiostoma mitovirus 1b;;Duamitovirus opno1b;Duamitovirus;Mitoviridae;ssRNA(+);2572;complete;United Kingdom;Ophiostoma novo-ulmi;
NC_076520;Ophiostoma mitovirus 3b;;Duamitovirus opno3b;Duamitovirus;Mitoviridae;ssRNA(+);2332;complete;United Kingdom;Ophiostoma novo-ulmi;
NC_076521;Sclerotinia homoeocarpa mitovirus;;Duamitovirus scho1;Duamitovirus;Mitoviridae;ssRNA(+);2632;complete;;Clarireedia homoeocarpa;
NC_076523;Azolla filiculoides mitovirus 1;SRR1618551,SRR1618556,SRR1618558,SRR1618559,SRR1618560,SRR1618578,SRR1618579,SRR1618580,SRR1618583;Duamitovirus azfi1;Duamitovirus;Mitoviridae;ssRNA(+);2871;complete;;Azolla filiculoides;
NC_076524;Solanum chacoense mitovirus 1;SRR2782408,SRR2782409,SRR2782412,SRR2782413,SRR2782415,SRR2782416,SRR2782438,SRR2782462,SRR2782513,SRR2782581,SRR2782690,SRR2782691,SRR2782692;Duamitovirus soch1;Duamitovirus;Mitoviridae;ssRNA(+);2773;complete;;Solanum chacoense;
NC_076525;Petunia exserta mitovirus 1;SRR1586492,SRR1586493,SRR1586494,SRR1586500,SRR1586504;Duamitovirus peex1;Duamitovirus;Mitoviridae;ssRNA(+);2701;complete;;Petunia exserta;
NC_076526;Oxybasis rubra mitovirus 1;SRR2913047,SRR2913184,SRR2937428,SRR2937430;Duamitovirus oxru1;Duamitovirus;Mitoviridae;ssRNA(+);2734;complete;;Oxybasis rubra;
NC_076527;Cannabis sativa mitovirus 1;SRR352195,SRR352196,SRR352198,SRR352200,SRR352201,SRR352202,SRR352203,SRR352205,SRR352208,SRR352210;Duamitovirus casa1;Duamitovirus;Mitoviridae;ssRNA(+);2857;complete;;Cannabis sativa;
NC_076528;Dahlia pinnata mitovirus 1;SRR1222985,SRR1226613,SRR1226614;Duamitovirus dapi1;Duamitovirus;Mitoviridae;ssRNA(+);2806;complete;;Dahlia pinnata;
NC_076529;Humulus lupulus mitovirus 1;DRR024464,DRR024465;Duamitovirus hulu1;Duamitovirus;Mitoviridae;ssRNA(+);2795;complete;;Humulus lupulus var. cordifolius;
NC_076530;Entomophthora muscae mitovirus 8;SRR6766806,SRR6766807,SRR6766808,SRR6766810,SRR6766811,SRR6766812,SRR6766816,SRR6766825,SRR6766826,SRR6766827,SRR6766835,SRR6766838,SRR6766839,SRR6766842,SRR6766843,SRR6766859,SRR6766860,SRR6766861;Unuamitovirus enmu8;Unuamitovirus;Mitoviridae;ssRNA(+);2479;complete;;Entomophthora muscae;
NC_076553;Tuber excavatum mitovirus;;Triamitovirus tuex1;Triamitovirus;Mitoviridae;ssRNA(+);3305;complete;Germany;;
NC_076554;Gremmeniella abietina non-host-specific mitochondrial RNA virus S1;;Gremmeniella abietina non-host-specific mitochondrial RNA virus S1;Mitovirus;Mitoviridae;ssRNA(+);2544;complete;Finland;Gremmeniella abietina;
NC_076555;Sclerotinia sclerotiorum mitovirus 1;;Unuamitovirus scsc1;Unuamitovirus;Mitoviridae;ssRNA(+);2513;complete;USA;Sclerotinia sclerotiorum;
NC_076556;Sclerotinia sclerotiorum mitovirus 3;;Duamitovirus scsc3;Duamitovirus;Mitoviridae;ssRNA(+);2588;complete;New Zealand;Sclerotinia sclerotiorum;
NC_076557;Sclerotinia sclerotiorum mitovirus 4;;Unuamitovirus scsc4;Unuamitovirus;Mitoviridae;ssRNA(+);2744;complete;New Zealand;Sclerotinia sclerotiorum;
NC_076559;Rhizoctonia mitovirus 1 RS002;;Triamitovirus rhso1;Triamitovirus;Mitoviridae;ssRNA(+);2797;complete;New Zealand;Rhizoctonia solani;
NC_076560;Ophiostoma mitovirus 1c;;Duamitovirus opno1c;Duamitovirus;Mitoviridae;ssRNA(+);3107;complete;Canada;Ophiostoma novo-ulmi;
NC_076561;Ophiostoma mitovirus 7;;Kvaramitovirus opno7;Kvaramitovirus;Mitoviridae;ssRNA(+);2804;complete;Canada;Ophiostoma novo-ulmi;
NC_076563;Fusarium circinatum mitovirus 1;;Unuamitovirus fuci1;Unuamitovirus;Mitoviridae;ssRNA(+);2419;complete;Spain;Fusarium circinatum;
NC_076564;Fusarium circinatum mitovirus 2-1;;Unuamitovirus fuci2;Unuamitovirus;Mitoviridae;ssRNA(+);2193;complete;Spain;Fusarium circinatum;
NC_076566;Sclerotinia sclerotiorum mitovirus 6;;Duamitovirus scsc6;Duamitovirus;Mitoviridae;ssRNA(+);2584;complete;New Zealand;Sclerotinia sclerotiorum;
NC_076567;Sclerotinia sclerotiorum mitovirus 7;;Unuamitovirus scsc7;Unuamitovirus;Mitoviridae;ssRNA(+);2815;complete;New Zealand;Sclerotinia sclerotiorum;
NC_076568;Buergenerula spartinae mitovirus 1;;Duamitovirus busp1;Duamitovirus;Mitoviridae;ssRNA(+);2735;complete;China;Buergenerula spartinae;
NC_076571;Hymenoscyphus fraxineus mitovirus 1;;Unuamitovirus hyfr1;Unuamitovirus;Mitoviridae;ssRNA(+);2387;complete;;Hymenoscyphus fraxineus;
NC_076572;Heterobasidion mitovirus 1;;Duamitovirus hean1;Duamitovirus;Mitoviridae;ssRNA(+);4379;complete;Poland;Heterobasidion annosum;
NC_076574;Rhizoctonia cerealis mitovirus;;Duamitovirus rhce1;Duamitovirus;Mitoviridae;ssRNA(+);3149;complete;China;Ceratobasidium cereale;mycelium
NC_076575;Alternaria brassicicola mitovirus;;Unuamitovirus albr1;Unuamitovirus;Mitoviridae;ssRNA(+);2506;complete;China;Alternaria brassicicola;
NC_076587;Sclerotinia nivalis mitovirus 1;;Unuamitovirus scni1;Unuamitovirus;Mitoviridae;ssRNA(+);2720;complete;China;Sclerotinia nivalis;
NC_076588;Sclerotinia nivalis mitovirus 2;;Duamitovirus scni2;Duamitovirus;Mitoviridae;ssRNA(+);2583;complete;China;Sclerotinia nivalis;
NC_076589;Ceratobasidium mitovirus A;;Ceratobasidium mitovirus A;Mitovirus;Mitoviridae;ssRNA(+);2850;complete;Australia;Pterostylis sanguinea;
NC_076595;Agaricus bisporus mitovirus 1;;Agaricus bisporus mitovirus 1;Mitovirus;Mitoviridae;ssRNA(+);3439;complete;United Kingdom;Agaricus bisporus;
NC_076604;Fusarium boothii mitovirus 1;;Duamitovirus fubo1;Duamitovirus;Mitoviridae;ssRNA(+);2802;complete;Ethiopia: Hadiya;Fusarium boothii;
NC_076628;Beta vulgaris mitovirus 1;;Duamitovirus bevu1;Duamitovirus;Mitoviridae;ssRNA(+);2750;complete;USA: Red River Valley Agricultural Research Center (USDA-ARS), Fargo, ND;Beta vulgaris;
NC_076650;Nigrospora oryzae mitovirus 1;;Duamitovirus nior1;Duamitovirus;Mitoviridae;ssRNA(+);2865;complete;;Nigrospora oryzae;
NC_076651;Nigrospora oryzae mitovirus 2;;Unuamitovirus nior2;Unuamitovirus;Mitoviridae;ssRNA(+);2507;complete;;Nigrospora oryzae;
NC_076654;Puccinia striiformis mitovirus 1;;Unuamitovirus pust1;Unuamitovirus;Mitoviridae;ssRNA(+);2496;complete;China;Puccinia striiformis;
NC_076656;Hymenoscyphus fraxineus mitovirus 1;;Unuamitovirus hyfr1;Unuamitovirus;Mitoviridae;ssRNA(+);2151;complete;France;Hymenoscyphus albidus;
NC_076669;Rhizoctonia solani mitovirus 21;;Duamitovirus rhso21;Duamitovirus;Mitoviridae;ssRNA(+);4100;complete;Brazil;Rhizoctonia solani;
NC_076670;Rhizoctonia solani mitovirus 25;;Duamitovirus rhso25;Duamitovirus;Mitoviridae;ssRNA(+);3767;complete;Brazil;Rhizoctonia solani;
NC_076671;Rhizoctonia solani mitovirus 26;;Duamitovirus rhso26;Duamitovirus;Mitoviridae;ssRNA(+);2580;complete;Brazil;Rhizoctonia solani;
NC_076672;Rhizoctonia solani mitovirus 27;;Duamitovirus rhso27;Duamitovirus;Mitoviridae;ssRNA(+);3176;complete;Brazil;Rhizoctonia solani;
NC_076673;Rhizoctonia solani mitovirus 30;;Triamitovirus rhso30;Triamitovirus;Mitoviridae;ssRNA(+);2760;complete;Brazil;Rhizoctonia solani;
NC_076674;Rhizoctonia solani mitovirus 31;;Duamitovirus rhso31;Duamitovirus;Mitoviridae;ssRNA(+);3820;complete;Brazil;Rhizoctonia solani;
NC_076675;Rhizoctonia solani mitovirus 32;;Duamitovirus rhso32;Duamitovirus;Mitoviridae;ssRNA(+);3409;complete;Brazil;Rhizoctonia solani;
NC_076676;Rhizoctonia solani mitovirus 34;;Duamitovirus rhso34;Duamitovirus;Mitoviridae;ssRNA(+);3389;complete;Brazil;Rhizoctonia solani;
NC_076677;Rhizoctonia solani ourmia-like virus 2;;Rhizoulivirus alpharhizoctoniae;Rhizoulivirus;Botourmiaviridae;ssRNA(+);4104;complete;Brazil;Rhizoctonia solani;
NC_076678;Rhizoctonia solani ourmia-like virus 3;;Rhizoulivirus betarhizoctoniae;Rhizoulivirus;Botourmiaviridae;ssRNA(+);3223;complete;Brazil;Rhizoctonia solani;
NC_076679;Rhizoctonia solani ourmia-like virus 4;;Rhizoulivirus gammarhizoctoniae;Rhizoulivirus;Botourmiaviridae;ssRNA(+);4557;complete;Brazil;Rhizoctonia solani;
NC_076680;Rhizoctonia solani ourmia-like virus 5;;Betarhizoulivirus solani;Betarhizoulivirus;Botourmiaviridae;ssRNA(+);5234;complete;Brazil;Rhizoctonia solani;
NC_076681;Rhizoctonia solani mitovirus 23;;Triamitovirus rhso23;Triamitovirus;Mitoviridae;ssRNA(+);2792;complete;Brazil;Rhizoctonia solani;
NC_076693;Epicoccum nigrum mitovirus 1;SRR8303989;Duamitovirus epni1;Duamitovirus;Mitoviridae;ssRNA(+);3520;complete;Italy;Epicoccum nigrum;
NC_076694;Alternaria alternata mitovirus 1;SRR8303989;Duamitovirus alal1;Duamitovirus;Mitoviridae;ssRNA(+);3607;complete;Italy;Alternaria alternata;
NC_076695;Neofusicoccum parvum mitovirus 1;SRR8303986;Duamitovirus nepa1;Duamitovirus;Mitoviridae;ssRNA(+);2659;complete;Italy;Neofusicoccum parvum;
NC_076699;Entomophthora muscae mitovirus 1;;Unuamitovirus enmu1;Unuamitovirus;Mitoviridae;ssRNA(+);2804;complete;Denmark;Entomophthora muscae;
NC_076700;Entomophthora muscae mitovirus 2;;Unuamitovirus enmu2;Unuamitovirus;Mitoviridae;ssRNA(+);2421;complete;Denmark;Entomophthora muscae;
NC_076701;Entomophthora muscae mitovirus 3;;Unuamitovirus enmu3;Unuamitovirus;Mitoviridae;ssRNA(+);2550;complete;Denmark;Entomophthora muscae;
NC_076702;Entomophthora muscae mitovirus 4;;Unuamitovirus enmu4;Unuamitovirus;Mitoviridae;ssRNA(+);2561;complete;Denmark;Entomophthora muscae;
NC_076703;Entomophthora muscae mitovirus 5;;Unuamitovirus enmu5;Unuamitovirus;Mitoviridae;ssRNA(+);2487;complete;Denmark;Entomophthora muscae;
NC_076704;Entomophthora muscae mitovirus 6;;Unuamitovirus enmu6;Unuamitovirus;Mitoviridae;ssRNA(+);2362;complete;Denmark;Entomophthora muscae;
NC_076705;Entomophthora muscae mitovirus 7;;Unuamitovirus enmu7;Unuamitovirus;Mitoviridae;ssRNA(+);2300;complete;Denmark;Entomophthora muscae;
NC_076713;Geopora sumneriana mitovirus 1;;Triamitovirus gesu1;Triamitovirus;Mitoviridae;ssRNA(+);3146;complete;Turkey;Geopora sumneriana;
NC_076717;Heterobasidion mitovirus 2;;Unuamitovirus hean2;Unuamitovirus;Mitoviridae;ssRNA(+);2923;complete;Poland;Heterobasidion annosum;
NC_076718;Heterobasidion mitovirus 3;;Duamitovirus hean3;Duamitovirus;Mitoviridae;ssRNA(+);4955;complete;Poland;Heterobasidion annosum;
NC_076719;Heterobasidion mitovirus 3;;Duamitovirus hean3;Duamitovirus;Mitoviridae;ssRNA(+);3580;complete;Russia;Heterobasidion parviporum;
NC_076731;Apple ourmia-like virus 2;SRR10026220;Penoulivirus malus;Penoulivirus;Botourmiaviridae;ssRNA(+);2570;complete;USA: Washington;Malus domestica;
NC_076732;Apple ourmia-like virus 3;SRR10026219;Magoulivirus malus;Magoulivirus;Botourmiaviridae;ssRNA(+);3067;complete;USA: Washington;;
NC_076733;Rhizoctonia solani mitovirus 39;;Triamitovirus rhso39;Triamitovirus;Mitoviridae;ssRNA(+);2805;complete;China: Ulanqab City, Inner Mongolia Autonomous Region;Rhizoctonia solani;
NC_076736;Plasmopara viticola lesion associated ourmia-like virus 1;;Betabotoulivirus alphaplasmoparae;Betabotoulivirus;Botourmiaviridae;ssRNA(+);2895;complete;Italy;Plasmopara viticola;
NC_076737;Plasmopara viticola lesion associated ourmia-like virus 2;;Betabotoulivirus betaplasmoparae;Betabotoulivirus;Botourmiaviridae;ssRNA(+);2696;complete;Italy;Plasmopara viticola;
NC_076738;Plasmopara viticola lesion associated ourmia-like virus 3;;Botoulivirus alphaplasmoparae;Botoulivirus;Botourmiaviridae;ssRNA(+);2404;complete;Italy;Plasmopara viticola;
NC_076739;Plasmopara viticola lesion associated ourmia-like virus 4;;Betabotoulivirus gammaplasmoparae;Betabotoulivirus;Botourmiaviridae;ssRNA(+);2545;complete;Italy;Plasmopara viticola;
NC_076740;Plasmopara viticola lesion associated ourmia-like virus 5;;Magoulivirus alphaplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2746;complete;Italy;Plasmopara viticola;
NC_076741;Plasmopara viticola lesion associated ourmia-like virus 6;;Magoulivirus betaplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2697;complete;Italy;Plasmopara viticola;
NC_076742;Plasmopara viticola lesion associated ourmia-like virus 7;;Magoulivirus gammaplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2685;complete;Spain;Plasmopara viticola;
NC_076743;Plasmopara viticola lesion associated ourmia-like virus 8;;Magoulivirus deltaplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2645;complete;Italy;Plasmopara viticola;
NC_076744;Plasmopara viticola lesion associated ourmia-like virus 9;;Magoulivirus epsilonplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2579;complete;Spain;Plasmopara viticola;
NC_076745;Plasmopara viticola lesion associated ourmia-like virus 10;;Magoulivirus zetaplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2578;complete;Spain;Plasmopara viticola;
NC_076746;Plasmopara viticola lesion associated ourmia-like virus 11;;Magoulivirus etaplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2575;complete;Italy;Plasmopara viticola;
NC_076747;Plasmopara viticola lesion associated ourmia-like virus 12;;Magoulivirus thetaplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2546;complete;Italy;Plasmopara viticola;
NC_076748;Plasmopara viticola lesion associated ourmia-like virus 13;;Magoulivirus iotaplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2522;complete;Italy;Plasmopara viticola;
NC_076749;Plasmopara viticola lesion associated ourmia-like virus 14;;Magoulivirus kappaplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2521;complete;Italy;Plasmopara viticola;
NC_076750;Plasmopara viticola lesion associated ourmia-like virus 15;;Magoulivirus lambdaplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2518;complete;Spain;Plasmopara viticola;
NC_076751;Plasmopara viticola lesion associated ourmia-like virus 16;;Magoulivirus miplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2500;complete;Italy;Plasmopara viticola;
NC_076752;Plasmopara viticola lesion associated ourmia-like virus 17;;Magoulivirus niplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2489;complete;Italy;Plasmopara viticola;
NC_076753;Plasmopara viticola lesion associated ourmia-like virus 18;;Magoulivirus xiplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2489;complete;Italy;Plasmopara viticola;
NC_076754;Plasmopara viticola lesion associated ourmia-like virus 19;;Magoulivirus omicronplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2470;complete;Italy;Plasmopara viticola;
NC_076755;Plasmopara viticola lesion associated ourmia-like virus 20;;Magoulivirus piplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2438;complete;Italy;Plasmopara viticola;
NC_076756;Plasmopara viticola lesion associated ourmia-like virus 21;;Magoulivirus rhoplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2420;complete;Italy;Plasmopara viticola;
NC_076757;Plasmopara viticola lesion associated ourmia-like virus 22;;Magoulivirus sigmaplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2393;complete;Spain;Plasmopara viticola;
NC_076758;Plasmopara viticola lesion associated ourmia-like virus 23;;Magoulivirus tauplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2386;complete;Italy;Plasmopara viticola;
NC_076759;Plasmopara viticola lesion associated ourmia-like virus 24;;Magoulivirus ipsilonplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2347;complete;Italy;Plasmopara viticola;
NC_076760;Plasmopara viticola lesion associated ourmia-like virus 25;;Magoulivirus fiplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2339;complete;Spain;Plasmopara viticola;
NC_076761;Plasmopara viticola lesion associated ourmia-like virus 26;;Magoulivirus jiplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2329;complete;Spain;Plasmopara viticola;
NC_076762;Plasmopara viticola lesion associated ourmia-like virus 27;;Magoulivirus omegaplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);2315;complete;Italy;Plasmopara viticola;
NC_076763;Plasmopara viticola lesion associated ourmia-like virus 29;;Magoulivirus psiplasmoparae;Magoulivirus;Botourmiaviridae;ssRNA(+);3729;complete;Italy;Plasmopara viticola;
NC_076764;Plasmopara viticola lesion associated ourmia-like virus 34;;Betascleroulivirus alphaplasmoparae;Betascleroulivirus;Botourmiaviridae;ssRNA(+);2548;complete;Italy;Plasmopara viticola;
NC_076765;Plasmopara viticola lesion associated ourmia-like virus 35;;Betascleroulivirus betaplasmoparae;Betascleroulivirus;Botourmiaviridae;ssRNA(+);2434;complete;Italy;Plasmopara viticola;
NC_076766;Plasmopara viticola lesion associated ourmia-like virus 36;;Magoulivirus viticolae;Magoulivirus;Botourmiaviridae;ssRNA(+);2357;complete;Italy;Plasmopara viticola;
NC_076767;Plasmopara viticola lesion associated ourmia-like virus 37;;Betascleroulivirus gammaplasmoparae;Betascleroulivirus;Botourmiaviridae;ssRNA(+);2352;complete;Spain;Plasmopara viticola;
NC_076768;Plasmopara viticola lesion associated ourmia-like virus 38;;Betascleroulivirus deltaplasmoparae;Betascleroulivirus;Botourmiaviridae;ssRNA(+);2336;complete;Italy;Plasmopara viticola;
NC_076769;Plasmopara viticola lesion associated ourmia-like virus 39;;Betascleroulivirus epsilonplasmoparae;Betascleroulivirus;Botourmiaviridae;ssRNA(+);2315;complete;Spain;Plasmopara viticola;
NC_076770;Plasmopara viticola lesion associated ourmia-like virus 40;;Betascleroulivirus zetaplasmoparae;Betascleroulivirus;Botourmiaviridae;ssRNA(+);2215;complete;Italy;Plasmopara viticola;
NC_076771;Plasmopara viticola lesion associated ourmia-like virus 41;;Betascleroulivirus etaplasmoparae;Betascleroulivirus;Botourmiaviridae;ssRNA(+);2206;complete;Spain;Plasmopara viticola;
NC_076772;Plasmopara viticola lesion associated ourmia-like virus 42;;Betascleroulivirus thetaplasmoparae;Betascleroulivirus;Botourmiaviridae;ssRNA(+);2170;complete;Italy;Plasmopara viticola;
NC_076773;Plasmopara viticola lesion associated ourmia-like virus 43;;Betascleroulivirus iotaplasmoparae;Betascleroulivirus;Botourmiaviridae;ssRNA(+);2135;complete;Spain;Plasmopara viticola;
NC_076774;Plasmopara viticola lesion associated ourmia-like virus 44;;Scleroulivirus alphaplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2884;complete;Italy;Plasmopara viticola;
NC_076775;Plasmopara viticola lesion associated ourmia-like virus 45;;Epsilonscleroulivirus plasmoparae;Epsilonscleroulivirus;Botourmiaviridae;ssRNA(+);2736;complete;Spain;Plasmopara viticola;
NC_076776;Plasmopara viticola lesion associated ourmia-like virus 46;;Scleroulivirus betaplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2668;complete;Italy;Plasmopara viticola;
NC_076777;Plasmopara viticola lesion associated ourmia-like virus 47;;Scleroulivirus gammaplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2475;complete;Spain;Plasmopara viticola;
NC_076778;Plasmopara viticola lesion associated ourmia-like virus 48;;Betascleroulivirus kappaplasmoparae;Betascleroulivirus;Botourmiaviridae;ssRNA(+);2451;complete;Spain;Plasmopara viticola;
NC_076779;Plasmopara viticola lesion associated ourmia-like virus 49;;Gammascleroulivirus alphaplasmoparae;Gammascleroulivirus;Botourmiaviridae;ssRNA(+);2412;complete;Italy;Plasmopara viticola;
NC_076780;Plasmopara viticola lesion associated ourmia-like virus 50;;Gammascleroulivirus betaplasmoparae;Gammascleroulivirus;Botourmiaviridae;ssRNA(+);2408;complete;Italy;Plasmopara viticola;
NC_076781;Plasmopara viticola lesion associated ourmia-like virus 51;;Betascleroulivirus lambdaplasmoparae;Betascleroulivirus;Botourmiaviridae;ssRNA(+);2308;complete;Italy;Plasmopara viticola;
NC_076782;Plasmopara viticola lesion associated ourmia-like virus 52;;Betabotoulivirus deltaplasmoparae;Betabotoulivirus;Botourmiaviridae;ssRNA(+);2823;complete;Italy;Plasmopara viticola;
NC_076783;Plasmopara viticola lesion associated ourmia-like virus 53;;Betabotoulivirus epsilonplasmoparae;Betabotoulivirus;Botourmiaviridae;ssRNA(+);2748;complete;Spain;Plasmopara viticola;
NC_076784;Plasmopara viticola lesion associated ourmia-like virus 54;;Betabotoulivirus zetaplasmoparae;Betabotoulivirus;Botourmiaviridae;ssRNA(+);2577;complete;Spain;Plasmopara viticola;
NC_076785;Plasmopara viticola lesion associated ourmia-like virus 55;;Betabotoulivirus etaplasmoparae;Betabotoulivirus;Botourmiaviridae;ssRNA(+);2568;complete;Italy;Plasmopara viticola;
