Contig	T0-R-Dry-soil-A_sort TPM	T0-R-Dry-soil-B_sort TPM	T0-R-Dry-soil-C_sort TPM	T1-R-H218O-A_sort TPM	T1-R-H218O-B_sort TPM	T1-R-H218O-C_sort TPM	T1-R-H218O-P-A_sort TPM	T1-R-H218O-P-B_sort TPM	T1-R-H218O-P-C_sort TPM	T1-R-H2O-A_sort TPM	T1-R-H2O-B_sort TPM	T1-R-H2O-C_sort TPM	T1-R-H2O-P-A_sort TPM	T1-R-H2O-P-B_sort TPM	T1-R-H2O-P-C_sort TPM	T2-R-H218O-A_sort TPM	T2-R-H218O-B_sort TPM	T2-R-H218O-C_sort TPM	T2-R-H218O-P-A_sort TPM	T2-R-H218O-P-B_sort TPM	T2-R-H218O-P-C_sort TPM	T2-R-H2O-A_sort TPM	T2-R-H2O-B_sort TPM	T2-R-H2O-C_sort TPM	T2-R-H2O-P-A_sort TPM	T2-R-H2O-P-B_sort TPM	T2-R-H2O-P-C_sort TPM	T3-R-H218O-A_sort TPM	T3-R-H218O-B_sort TPM	T3-R-H218O-C_sort TPM	T3-R-H218O-P-A_sort TPM	T3-R-H218O-P-B_sort TPM	T3-R-H218O-P-C_sort TPM	T3-R-H2O-A_sort TPM	T3-R-H2O-B_sort TPM	T3-R-H2O-C_sort TPM	T3-R-H2O-P-A_sort TPM	T3-R-H2O-P-B_sort TPM	T3-R-H2O-P-C_sort TPM
T0-R-Dry-soil-A_NODE_56_length_2684_cov_62.595867	9767.6875	6158.1626	5525.5796	854.30786	1763.5198	1214.5869	842.5	1304.6246	838.7082	412.34048	405.4966	0	1029.282	0	1004.22546	756.9189	671.9463	1219.4924	496.82056	1427.2296	556.4285	0	0	0	0	338.9395	237.43439	1090.2189	788.3038	687.66785	293.43515	0	262.65228	0	0	0	0	211.97331	0
T0-R-Dry-soil-A_NODE_60_length_2623_cov_430.309561	120923.32	87244.38	125598.695	28285.828	72626.055	41284.477	33340.785	42457.297	25370.92	28457.818	33657.87	28609.81	24490.668	37584.2	33100.727	30808.746	30775.77	22215.291	37121.504	25230.69	28536.523	25706.758	31947.38	26553.963	13739.074	20462.49	10991.333	48562.285	39994.875	35326.934	26466.387	26443.314	7998.6294	18893.457	27717.219	33173.656	11322	12878.08	34098.906
T0-R-Dry-soil-A_NODE_62_length_2611_cov_32.782283	10472.187	8743.166	3318.155	0	0	0	367.4173	0	0	829.701	1275.0205	353.54718	549.1195	0	282.82263	345.81406	0	0	694.5666	386.08752	0	254.2239	322.4741	173.22072	227.9005	0	0	437.77347	1230.9016	369.51282	0	0	0	509.02542	1075.6478	278.82425	235.45593	153.8117	0
T0-R-Dry-soil-A_NODE_76_length_2487_cov_5.087334	1678.455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-A_NODE_88_length_2426_cov_48.577919	3951.1426	2826.8015	4229.8506	1080.1853	618.29553	868.89453	1256.92	672.922	579.9393	1281.2198	936.8243	940.0775	396.39822	705.86346	1552.3873	802.52344	0	1862.2521	2055.7144	1710.5967	455.0114	604.2227	416.47772	355.10498	413.90915	335.09302	362.50528	1262.7002	982.5355	363.10922	277.51587	4388.448	268.89938	383.4898	912.1064	914.54913	858.32745	367.86853	0
T0-R-Dry-soil-A_NODE_97_length_2355_cov_3.759194	1838.1836	1016.741	1632.6901	434.66855	835.09424	822.2344	436.45428	0	358.45422	1519.8242	652.4408	599.49774	348.95285	464.56442	274.37088	503.21985	0	626.41534	0	0	275.72305	411.04446	536.2925	411.5373	221.09	336.97668	265.19266	0	796.0793	0	134.85027	0	0	282.17957	0	691.8706	328.41904	0	0
T0-R-Dry-soil-A_NODE_113_length_2264_cov_11.460100	3950.9578	492.86588	617.56915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-A_NODE_114_length_2252_cov_9.244842	3050.111	1661.9636	2394.7458	718.18744	636.4651	827.18854	1300.7869	903.5172	762.19293	1066.5282	1591.99	1422.6201	1389.7751	908.25757	3106.9324	1653.8834	1035.7601	1535.3099	580.2829	656.53186	583.8764	1117.5957	1916.1383	1740.5663	682.5965	515.6911	1007.4135	994.8187	1106.0216	633.3142	671.24554	693.5585	453.20227	4640.2227	1549.4529	1169.9387	532.7723	396.2918	0
T0-R-Dry-soil-A_NODE_129_length_2198_cov_11.081335	2692.9653	2009.5096	1647.0787	1331.9486	1182.882	0	381.89743	1819.1372	435.2659	0	582.5362	0	493.20068	0	671.92865	2554.611	1980.1897	1279.397	0	374.55017	265.87585	868.22687	210.68628	0	671.1662	0	185.55746	0	0	0	340.97845	681.5938	186.69206	408.15268	0	0	0	0	0
T0-R-Dry-soil-A_NODE_136_length_2188_cov_3.232404	787.3556	0	581.96484	0	0	728.15784	360.15466	1589.5581	2430.6245	0	0	0	0	0	388.1248	1818.3237	516.54315	0	438.80045	345.54672	0	619.38495	0	1141.8218	900.8668	389.23532	332.0347	428.3737	465.14185	230.06085	1782.3534	1238.3027	158.6921	273.34528	0	0	788.54517	1019.70905	314.193
T0-R-Dry-soil-A_NODE_137_length_2186_cov_6.534279	2162.1567	0	936.56433	0	0	672.7606	0	0	0	646.31134	0	0	0	0	0	0	0	0	0	215.20363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190.51262	0	0
T0-R-Dry-soil-A_NODE_143_length_2171_cov_5.646190	1953.2823	1445.5662	3933.1494	1159.9102	1412.5457	1433.849	867.9831	1591.1073	3512.4714	282.00333	899.416	637.8015	749.0021	306.74472	1062.9458	2651.3665	930.41235	2038.5187	4225.8164	742.9388	904.7524	5388.805	1987.6292	615.0627	1713.0586	1872.2607	1814.0732	1547.9036	530.46625	995.0753	2410.6824	2980.5168	2413.5613	581.58093	294.01163	0	7737.097	2928.926	2299.903
T0-R-Dry-soil-A_NODE_154_length_2131_cov_11.022330	984.609	687.2601	0	2930.1875	4129.475	3841.69	6615.9907	4329.9976	5176.14	8663.098	5723.1104	4408.2676	18690.89	20011.326	12760.867	2740.857	2358.407	4369.8975	6207.4063	6323.1333	6726.381	4633.366	5719.215	3325.0637	12600.441	12879.517	13517.024	2124.0667	2903.205	1919.2418	5943.119	6701.157	9109.649	3687.5176	6449.8843	3538.292	15927.516	13506.09	6095.3867
T0-R-Dry-soil-A_NODE_183_length_2054_cov_16.324760	5634.4893	2603.1038	3354.924	757.5168	973.7001	0	366.97012	1831.4844	712.37115	584.66956	0	370.1117	510.75266	0	512.31274	961.6057	1194.1411	942.6536	0	0	316.1286	956.026	286.94513	0	265.56012	0	117.8987	0	0	377.81555	272.11658	744.8969	163.92233	0	0	118.144966	453.787	282.4205	0
T0-R-Dry-soil-A_NODE_239_length_1900_cov_19.504101	5823.8184	758.5813	538.77106	0	491.223	0	288.5191	0	0	0	0	828.7994	0	450.63812	466.38913	0	999.8373	558.0558	0	0	0	0	0	0	293.60925	0	0	505.33807	0	0	0	1744.757	365.49307	0	0	0	0	0	0
T0-R-Dry-soil-A_NODE_258_length_1846_cov_22.577465	7417.9473	7379.552	9264.73	6986.952	6229.6245	6506.1465	8184.935	7997.593	5243.6064	3482.3433	7525.7324	6603.7363	4641.136	6557.9033	4860.3267	7642.539	5666.4824	13260.689	5851.072	4914.7725	5346.581	4944.1777	2930.5078	4456.761	3156.29	2484.9841	4570.6963	8594.368	7602.362	3272.1963	4534.783	3729.731	2439.5	2924.8801	4091.66	2554.0251	1982.0714	1909.6284	5076.428
T0-R-Dry-soil-A_NODE_281_length_1807_cov_14.406682	4913.507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203.51787	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-A_NODE_283_length_1807_cov_3.898041	1417.8281	295.8923	525.0484	0	590.2912	0	331.80902	0	0	325.77844	0	0	0	0	0	811.9787	345.996	714.33685	0	0	350.35687	352.03152	0	0	294.99942	439.1699	0	0	0	0	0	0	0	376.94855	0	316.55096	312.7816	0	0
T0-R-Dry-soil-A_NODE_297_length_1774_cov_7.511450	2191.2034	3472.6128	2392.5955	773.21515	1127.3843	773.73816	1004.2877	1186.9784	1078.5955	1645.92	1551.799	2280.3833	1468.563	1541.7828	1560.9845	1161.0977	650.64404	1065.451	826.8391	350.42053	402.62735	592.4365	628.874	849.82965	412.29608	0	488.55255	1043.8011	724.6639	307.396	415.3146	718.7232	415.1768	842.84033	1439.231	390.83572	279.47382	339.57333	0
T0-R-Dry-soil-A_NODE_319_length_1748_cov_16.115086	5610.0317	3750.3503	8212.975	7636.3394	5873.3223	5174.215	19718.096	13156.227	9787.358	5401.8643	11408.731	10530.849	3570.9727	12259.21	4657.555	3341.4	4539.7144	15665.643	6774.1313	5430.609	6157.103	4778.3438	3805.2832	4238.4253	3467.9944	3676.2375	2719.7156	6682.911	3998.9697	8615.126	4789.0215	7221.1963	2588.307	3744.65	4552.323	2161.738	2756.8901	2846.3408	4139.7944
T0-R-Dry-soil-A_NODE_320_length_1748_cov_5.425760	1503.5898	319.17886	371.36932	702.7304	1296.707	1402.2257	754.6189	1245.2394	1545.3726	835.201	402.87662	0	0	0	570.31305	0	632.80853	2795.5525	762.85254	519.0317	742.9384	0	0	123.21012	0	221.46014	0	1229.3418	1823.2848	1991.798	1249.9421	1477.0629	0	0	0	0	601.29675	134.02052	910.7547
T0-R-Dry-soil-A_NODE_327_length_1741_cov_13.328144	4325.928	2550.3438	2065.0842	705.5563	421.20963	844.71814	629.7376	2894.5906	2004.1317	243.45264	1783.4612	1309.953	0	1584.6677	296.9068	0	193.36813	3918.918	10937.33	405.31448	960.37897	444.8063	0	0	783.2579	177.88036	834.5688	4057.3818	1661.3995	2035.9473	401.2977	4943.339	507.6559	190.84795	1258.7554	806.4439	216.42598	563.8679	0
T0-R-Dry-soil-A_NODE_332_length_1735_cov_29.036058	3984.4526	2532.3655	3439.3198	849.59546	1114.3019	367.31064	1224.3359	1200.0233	567.63855	1031.4653	405.89508	1752.6434	0	740.2414	510.7434	1691.349	526.67175	1673.9573	1091.3673	1268.5668	477.172	0	0	0	342.96722	401.6149	484.8424	1423.019	0	894.56274	710.1906	936.9708	521.5401	766.0322	1839.4786	1728.3616	662.95355	623.68555	458.78943
T0-R-Dry-soil-A_NODE_338_length_1730_cov_6.565401	2029.9004	0	0	0	0	0	0	0	0	2817.5054	2146.36	1804.7913	0	0	341.4796	0	472.59473	0	0	0	0	511.58237	2640.3096	834.09656	114.65273	1924.3728	0	0	0	0	0	0	109.475044	1776.5692	270.56992	701.358	0	0	0
T0-R-Dry-soil-A_NODE_342_length_1725_cov_1.489117	435.32486	0	347.37305	391.6551	386.4695	610.9966	536.2695	0	0	778.0839	835.05286	771.2267	699.39056	882.4089	395.98013	637.9326	404.2637	0	0	253.23619	0	785.6312	561.3194	636.7495	675.53766	336.6192	199.4945	251.79706	0	0	309.28796	0	0	462.2837	308.357	381.841	0	258.6809	0
T0-R-Dry-soil-A_NODE_351_length_1709_cov_9.367521	2274.544	1754.7357	1548.5946	598.97253	0	1950.5459	1042.485	1135.2155	576.27435	303.1248	1198.7502	1302.7075	613.8596	2324.093	993.8178	875.05066	858.30896	3560.6978	1310.8385	727.4971	1804.7449	0	739.0105	693.1195	558.5467	872.0786	432.55566	6862.171	1488.7804	2859.5146	787.8919	0	455.59436	2342.78	1220.0758	4878.5513	475.7693	3910.0144	571.626
T0-R-Dry-soil-A_NODE_360_length_1695_cov_33.414409	2814.5417	3168.1538	3181.6912	2125.7974	1494.5774	1850.9714	1394.7224	2079.8076	1261.674	416.766	887.60284	1457.6287	433.25067	1150.5973	1590.1714	1048.7457	1305.1907	2855.7676	1510.4747	2032.0087	919.4026	1011.6583	968.6487	1041.9136	270.60938	479.60803	556.4397	890.1443	1769.691	1039.4131	1641.2592	1842.9423	751.1115	568.4793	1230.1534	1063.5344	813.1481	1020.13025	1259.426
T0-R-Dry-soil-A_NODE_366_length_1688_cov_5.222635	1687.8773	2107.0898	207.07579	0	0	203.28954	0	224.26112	600.1135	0	0	0	0	0	0	0	0	3932.722	600.3757	278.69345	0	0	261.87146	0	0	275.19818	0	0	0	0	240.81306	339.90332	0	0	151.25562	0	0	4923.538	0
T0-R-Dry-soil-A_NODE_385_length_1670_cov_2.689806	1058.0281	473.28912	1001.6879	0	0	0	430.8354	0	0	366.6044	575.0367	211.34998	0	0	198.98337	0	0	0	0	160.96992	0	0	529.388	180.55064	133.61864	0	183.16844	0	0	0	174.94997	0	0	288.4949	496.87952	373.6577	0	200.40024	0
T0-R-Dry-soil-A_NODE_398_length_1655_cov_2.691288	1014.2366	266.8824	271.54935	0	0	0	0	0	680.08844	0	0	0	0	0	0	0	0	0	0	121.821724	0	250.67168	0	0	0	0	0	193.38214	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-A_NODE_457_length_1581_cov_4.125828	1522.7142	1279.2383	1073.8685	271.93573	0	0	0	0	0	0	0	0	0	0	256.8926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-A_NODE_465_length_1575_cov_7.047207	2285.7603	1815.4681	3186.322	623.9357	0	404.6247	587.3426	0	0	807.335	528.4251	620.5793	444.0576	513.4255	562.6284	250.81108	396.9619	819.56006	609.58453	234.6841	371.0447	790.2122	801.885	765.76416	330.58224	442.4139	663.57404	537.041	493.13577	479.40292	1000.10095	404.76672	454.27325	421.9257	688.9577	1089.5381	352.55917	552.4686	183.78067
T0-R-Dry-soil-A_NODE_476_length_1566_cov_39.652174	6149.198	1796.2128	4511.9956	1072.0154	383.1381	829.5518	842.3205	483.4646	521.0862	10766.187	1124.247	866.8688	937.88	1245.3778	1072.7793	1045.0461	1489.484	1059.7756	596.05786	343.3205	362.8112	1006.68787	1034.9999	1774.1301	277.06845	926.99316	691.80426	905.0782	2394.337	0	0	0	550.9483	222.78409	788.0234	2047.7078	272.27075	185.21448	0
T0-R-Dry-soil-A_NODE_482_length_1557_cov_31.531629	8723.889	716.6658	1154.5636	0	599.43774	314.8478	209.0467	0	0	0	0	1674.0093	0	656.839	403.13565	0	1822.4235	414.51727	0	107.90779	0	0	0	0	254.7841	0	0	0	0	0	0	2415.7317	405.46332	0	245.97263	0	0	0	0
T0-R-Dry-soil-A_NODE_489_length_1553_cov_5.196356	1294.1769	538.88385	835.99945	606.4089	837.0813	536.6202	0	396.10327	471.09155	0	0	0	911.955	0	0	944.78125	588.3938	0	0	0	0	587.69836	0	0	431.05527	0	0	0	0	459.18338	139.05301	718.37616	0	0	0	279.0336	0	0	256.27817
T0-R-Dry-soil-A_NODE_519_length_1531_cov_4.528767	1471.4608	0	0	0	0	0	18798.037	0	0	4921.7026	334.5304	6047.1997	0	0	5305.6465	0	0	0	0	0	0	0	6008.245	48504.234	0	0	0	0	17545.867	6616.8394	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-A_NODE_525_length_1526_cov_2.351203	796.0345	457.01538	638.09326	362.23315	327.65073	256.99506	516.3946	0	0	0	0	284.66922	137.49487	249.37027	411.32523	406.78757	472.74033	0	0	286.25967	255.30582	543.724	468.99234	493.97076	0	355.14883	367.49734	0	403.66617	0	241.40494	292.43448	103.42495	631.4368	390.39685	238.53516	168.94426	190.06946	0
T0-R-Dry-soil-A_NODE_567_length_1498_cov_4.577435	1489.1326	0	0	437.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585.17554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-A_NODE_586_length_1482_cov_17.568391	4947.817	1364.6932	0	0	562.2975	0	0	478.9382	1139.2167	0	0	0	0	0	0	2056.2456	308.29144	0	503.87393	680.2123	481.95743	0	0	0	0	0	232.20512	1743.0771	397.57907	15100.622	0	0	163.29323	0	0	0	0	0	0
T0-R-Dry-soil-A_NODE_642_length_1445_cov_8.356623	2262.1304	2204.0266	1658.7366	1161.7832	1337.9341	2781.8616	1149.9587	1866.5664	1129.4407	1287.3597	1151.93	2198.3315	738.1111	1185.0692	1648.097	1815.9946	1597.5679	1531.3574	4318.768	1255.7333	1449.1923	4134.259	3568.9436	2697.7283	1252.5518	1647.5713	837.93787	1170.7122	2631.9001	2133.6738	2461.4604	2779.4443	655.33514	1828.0398	3769.4246	2567.0466	1592.006	1721.593	10266.12
T0-R-Dry-soil-A_NODE_666_length_1430_cov_12.350258	4015.6973	0	0	0	0	0	0	0	334.51572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	711.6992	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-A_NODE_687_length_1421_cov_2.052593	559.5412	0	0	0	422.2336	603.717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-A_NODE_695_length_1415_cov_3.031994	920.9141	345.0062	723.43823	0	518.2519	588.9546	0	0	0	299.5413	565.55444	1957.1271	0	184.89081	0	358.93466	271.90643	0	0	0	0	1407.3044	654.54224	334.85278	0	218.8621	0	242.33774	416.40445	222.33794	0	0	0	446.15283	421.0217	514.4945	0	0	0
T0-R-Dry-soil-A_NODE_777_length_1369_cov_2.466102	645.32745	1001.8733	1112.501	224.31952	0	358.0847	325.3481	501.18845	554.96265	0	0	436.30905	0	434.32565	310.1596	494.66046	298.60803	0	350.6559	245.45265	260.86966	363.64777	0	534.8881	253.55106	311.04706	558.6037	267.1793	371.70575	0	445.38995	582.0923	153.71463	218.43672	419.62674	430.4904	188.31912	317.80054	0
T0-R-Dry-soil-A_NODE_790_length_1363_cov_12.337461	3986.2354	511.66943	0	0	391.28995	485.54272	0	0	309.6699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
